U,RF
0.011808,3.3644158979177172
0.011849,3.4006599189496542
0.01189,3.42339028185041
0.011931,3.4302771961065104
0.011972,3.4191608831328573
0.012013,3.3900804465766883
0.012054,3.3501026828041884
0.012095,3.307695392842966
0.012136000000000001,3.2708122033178526
0.012177,3.2423171243594155
0.012218,3.2221681387085805
0.012259,3.2102580865027255
0.0123,3.2048051424618764
0.012341,3.2015380359757297
0.012382,3.1959833086580702
0.012423,3.1849649613557176
0.012464,3.170721099537569
0.012505,3.1569018234834143
0.012546,3.1471301505304083
0.012587000000000001,3.144658293880497
0.012628,3.1524696941762547
0.012669,3.1735080776514595
0.01271,3.207006282358861
0.012751,3.2451792960831582
0.012792,3.279461599028714
0.012833,3.3024548292688816
0.012874,3.313138772922858
0.012915,3.31266099935063
0.012956,3.3022516380429265
0.012997,3.284735901077608
0.013038000000000001,3.264400512487063
0.013079,3.245579477651834
0.01312,3.2304599009169106
0.013161,3.2160222508021916
0.013202,3.1984730550952727
0.013243,3.1747345034638244
0.013284,3.146895408314927
0.013325,3.1193131719327822
0.013366,3.096297210280147
0.013407,3.080404692291016
0.013448,3.0721659526138905
0.013489000000000001,3.07199772664746
0.01353,3.078896606614067
0.013571,3.0873988843964955
0.013612,3.0911674693442084
0.013653,3.0843127145055815
0.013694,3.0652840495462903
0.013735,3.0349686824033886
0.013776,2.994278137863985
0.013817,2.943980915884829
0.013858,2.8846362463556185
0.013899,2.816786734505996
0.013940000000000001,2.7412934406052667
0.013981,2.6603225613593398
0.014022,2.5763745981692794
0.014063,2.4919445923047165
0.014104,2.409454531192852
0.014145,2.3312742842901324
0.014186,2.2597584957955905
0.014227,2.195795784300714
0.014268,2.137548438888465
0.014309,2.0828817506959694
0.01435,2.030446437730926
0.014391000000000001,1.9831044617210576
0.014432,1.9451232227473403
0.014473,1.9207208722532074
0.014514,1.9131508059883484
0.014555,1.9247969290367746
0.014596,1.958007544110048
0.014637,2.0138249176528906
0.014678,2.0901810155676452
0.014719,2.184554742248575
