JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
167,1.51796,1.09906,2.48137,0.36797,0.14364,0.04401,0.00131,82.141,22.00377,1.53884,43.05837,43.82779,2.5,108.99631
168,1.50065,0.97143,2.41503,0.38616,0.10157,0.04899,0.00144,81.40072,21.21841,1.47994,41.53361,42.27358,2.5,103.09976
169,1.44825,1.0415,2.54082,0.27411,0.1542,0.04268,0.00133,81.76303,20.80771,1.72531,40.44523,41.30788,2.5,110.87265
170,0.95974,0.98828,0.96055,0.3791,0.15952,0.03713,0.00148,631.96903,4.55841,1.41897,7.79451,8.504,2.5,112.8914
171,1.49657,0.95581,2.50521,0.31554,0.12988,0.06469,0.00132,81.75309,22.41819,1.61937,43.81569,44.62537,2.5,94.33697
172,1.37388,0.95035,2.46861,0.27378,0.18841,0.06707,0.00137,82.08434,21.16554,1.93143,40.95658,41.92229,2.5,106.3462
173,1.51752,0.93578,2.5481,0.39952,0.18526,0.0744,0.00138,81.74378,22.11214,1.65851,43.15653,43.98578,2.5,106.00523
174,1.59435,1.0308,2.51361,0.32388,0.15709,0.0568,0.00143,83.10253,20.37264,1.73871,39.53568,40.40503,2.5,101.75458
175,1.5466,1.05388,2.42022,0.35708,0.19669,0.04828,0.00145,82.40492,24.8757,1.71456,48.70824,49.56552,2.5,118.71108
176,1.47697,1.03192,2.47315,0.33868,0.13339,0.07281,0.00145,45.77876,23.03277,1.61952,45.06313,45.87289,2.5,89.4102
177,1.59366,1.03241,2.50178,0.33536,0.15635,0.08881,0.00132,81.14348,21.90905,1.81148,42.58581,43.49155,2.5,101.34894
178,1.27123,1.07258,1.16709,0.31735,0.13652,0.03692,0.00135,49.69675,16.63261,1.52229,32.18312,32.94426,2.5,97.02845
179,1.58321,0.99837,2.4594,0.33183,0.10166,0.07626,0.00133,81.81408,19.65796,1.51603,38.31636,39.07438,2.5,115.35396
180,1.25796,0.95857,2.51169,0.37999,0.14154,0.04096,0.00136,82.51585,16.21494,1.46215,31.39997,32.13104,2.5,88.55673
181,1.59458,1.06878,2.49695,0.30936,0.13738,0.06196,0.00137,83.13535,20.47159,1.71874,39.78354,40.64291,2.5,99.02045
182,1.39636,1.04844,2.55326,0.3186,0.17209,0.0575,0.00144,81.68109,19.55127,1.73343,37.88782,38.75454,2.5,92.90702
183,1.59451,0.98311,2.51903,0.25686,0.17811,0.08908,0.00143,82.48173,23.97753,2.38158,46.19721,47.388,2.5,93.51112
184,1.42178,1.0141,2.53029,0.39434,0.14395,0.08613,0.00149,82.42577,19.22763,1.55792,37.41109,38.19005,2.5,96.99872
185,1.58917,0.9667,2.46082,0.35128,0.18965,0.05089,0.00143,82.38377,18.57649,1.72411,35.91952,36.78157,2.5,86.77595
186,1.49828,1.04754,2.52161,0.30864,0.10988,0.08983,0.00138,82.70629,22.27706,1.60684,43.53897,44.34239,2.5,96.80759
187,1.59736,0.92938,2.5017,0.32614,0.17241,0.05984,0.00144,82.31128,19.4054,1.78695,37.5304,38.42388,2.5,97.06241
188,1.59862,1.00282,2.33491,0.30467,0.14896,0.07315,0.00145,40.4662,18.22141,1.85552,35.07702,36.00478,2.5,94.99508
189,1.52728,0.98901,2.47486,0.38915,0.14511,0.06014,0.00138,82.37036,22.44759,1.5453,43.95116,44.72381,2.5,96.96478
190,1.5262,0.92832,2.46367,0.39225,0.12855,0.08463,0.00132,82.63688,22.94284,1.50641,44.9999,45.75311,2.5,86.9539
191,1.1948,1.04526,2.43997,0.31159,0.13334,0.06579,0.00147,344.53076,9.31902,1.57806,17.28753,18.07656,2.5,98.66333
192,1.30766,0.955,2.52539,0.30728,0.18997,0.05529,0.00132,297.55654,11.69571,1.71434,21.97146,22.82863,2.5,96.12949
193,1.43577,0.94814,2.53194,0.26539,0.15989,0.07796,0.00133,82.81715,22.63448,2.01867,43.84636,44.85569,2.5,95.13173
194,1.40613,0.90009,2.53429,0.27575,0.12508,0.07783,0.00144,83.46285,21.42678,1.76926,41.65598,42.54061,2.5,99.90276
195,1.47148,1.03384,2.48984,0.27196,0.16877,0.04393,0.00133,82.6801,21.98427,1.78013,42.77916,43.66923,2.5,84.5561
196,1.51562,1.05227,2.49625,0.25632,0.10967,0.05619,0.00146,83.03913,24.06822,1.73476,47.04201,47.90939,2.5,119.43311
