JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
163,1.46647,0.96236,1.97102,0.27354,0.18689,0.04432,0.00136,796.82697,18.30187,3.91995,22.91073,24.8707,2.5,115.98325
164,1.56211,1.08829,1.67165,0.27879,0.18047,0.08896,0.00135,796.62945,17.0921,4.05524,21.26902,23.29664,2.5,136.28438
165,1.42209,1.07096,1.745,0.30395,0.11467,0.07563,0.00138,796.77409,18.54177,3.84859,23.25064,25.17493,2.5,126.16512
166,1.55234,0.9835,1.85359,0.31645,0.18856,0.04281,0.00147,796.42003,18.43703,3.9231,23.08853,25.05009,2.5,109.25251
167,1.57811,0.94199,1.83429,0.38608,0.1445,0.06983,0.00144,796.50058,18.78115,3.86568,23.56178,25.49462,2.5,134.26866
168,1.54717,0.95567,1.73385,0.29001,0.17454,0.03622,0.00143,796.76921,18.48029,3.91022,23.14945,25.10456,2.5,113.2159
169,1.40509,0.94802,1.67216,0.28654,0.13301,0.05844,0.0015,796.7063,18.39685,3.88396,23.04814,24.99012,2.5,128.04791
170,1.54534,0.96696,1.83032,0.29649,0.13241,0.06308,0.00132,796.67615,18.3458,3.87943,22.98218,24.9219,2.5,121.07471
171,1.59028,0.98932,1.81265,0.27073,0.1081,0.07612,0.0014,796.54368,18.00492,3.89435,22.52615,24.47333,2.5,124.15351
172,1.49081,1.00878,1.88119,0.26912,0.15764,0.03961,0.00135,796.59016,18.38092,3.89936,23.02258,24.97226,2.5,116.26588
173,1.57285,1.05769,1.78364,0.37958,0.17069,0.06248,0.00148,796.61111,18.57583,3.90391,23.27793,25.22988,2.5,147.9213
174,1.48921,1.08721,1.83968,0.36382,0.13125,0.05793,0.00137,796.61162,18.85572,3.84403,23.66597,25.58798,2.5,136.56393
175,1.51556,1.05425,1.78855,0.37868,0.18683,0.04414,0.00142,796.67331,18.69596,3.88019,23.44411,25.38421,2.5,141.24614
176,1.32212,1.01883,1.8742,0.39792,0.17223,0.0638,0.00137,796.6047,18.79687,3.83325,23.59199,25.50861,2.5,130.96709
