JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
40,1.3766280124703443,0.9434363547901543,2.113865920714083,0.36332784758989584,0.17194811188191017,0.05449137327463083,0.00144933108578058,0.060757858235049866,23.693306230240907,1.6095424532494529,46.41600955906418,47.2207807856889,2.5,87.0838475227356
41,0.9457902231412492,0.9969303830883557,2.0466927762583658,0.27323611401132614,0.19386795870764725,0.04719406750550524,0.0013625549478372048,0.07678422192451961,18.589781076918587,1.604934648798814,36.0640606926693,36.86652801706871,2.5,78.35096454620361
42,1.3179866809303387,1.0429239828235897,2.2429142032163902,0.25040057063780663,0.12121891866041246,0.08417931801947778,0.001474612628579834,0.195665718704241,24.974924302406116,1.9213488518525594,48.69614359996731,49.656818025893585,2.5,81.13471293449402
43,1.5697799766008043,0.9224696119372635,1.4124634418341375,0.34249657494768354,0.14369850615745006,0.08836507837509439,0.0014225990842348544,152.27792748162284,11.949408877357167,1.7016570886234343,22.492657699843093,23.34348624415481,2.5,95.968989610672
44,1.4966250407333965,1.035645606163887,2.444119866026914,0.30148878211768665,0.15405482997779352,0.06639780623603456,0.0013945057822132858,0.012767489109499763,26.581449891807644,1.810473498251307,52.06671965649553,52.971956405621185,2.5,120.04477405548096
45,1.126682635122731,1.057204931323255,2.1501396660760665,0.29179366769872633,0.144537083162754,0.03303947736897346,0.0013697862309831723,0.08604152964020173,19.2067484204022,1.5248525369183752,37.39774367110496,38.16016993956415,2.5,107.1014301776886
46,1.0779352769713453,0.9317355197489517,2.5146181402868697,0.2567308487136244,0.18967815563077442,0.07419618167474502,0.001358113575144547,0.07467086528549771,20.487300708346226,1.859629464534044,39.65562118865325,40.58543592092027,2.5,112.26129078865051
47,0.952372435640394,1.0715624264325612,2.056086869111798,0.3339640042709726,0.15193063274554933,0.07530770391640622,0.001476539570526282,0.030298592545641156,18.46827167930134,1.540746530761878,35.886678641131084,36.657051906512024,2.5,111.72379040718079
48,1.1899954956688998,0.9357348709306317,2.186518282088937,0.32204586831550774,0.1432669161411559,0.05344974777440411,0.0013067689945420288,0.12186168604451098,20.2283243464245,1.534479911115669,39.468210250580576,40.23545020613841,2.5,112.70104908943176
49,0.9323880115210695,0.9021479614663925,2.047218840252117,0.33515755261709335,0.15161658921057797,0.049146490523952674,0.0014020917687400016,0.045902132881447955,17.60584316075066,1.4610120960762123,34.21987312578922,34.95037917382733,2.5,113.12343382835388
